"DVSA5201 Theory car pass rates by gender, month and DTC",,,,,,,,,,,
,,,,,,,,,,,
Time Period Captured,April 2018 to March 2019,,,,,,,,,,
,,,,,,,,,,,
,Male tests,,,,Female tests ,,,,Total tests,,
 ,Conducted,Passes,Pass rate (%),,Conducted,Passes,Pass rate (%),,Conducted,Passes,Pass rate (%)
Aberdeen,,,,,,,,,,,
April 2018,500,255,51.0, ,507,280,55.2, ,1007,535,53.1
May 2018,528,267,50.6, ,522,285,54.6, ,1050,552,52.6
June 2018,593,334,56.3, ,554,291,52.5, ,1147,625,54.5
July 2018,568,277,48.8, ,546,294,53.8, ,1114,571,51.3
August 2018,542,296,54.6, ,550,316,57.5, ,1092,612,56.0
September 2018,435,217,49.9, ,423,212,50.1, ,858,429,50.0
October 2018,570,299,52.5, ,566,312,55.1, ,1136,611,53.8
November 2018,535,238,44.5, ,554,271,48.9, ,1089,509,46.7
December 2018,302,134,44.4, ,316,168,53.2, ,618,302,48.9
January 2019,377,203,53.8, ,378,206,54.5, ,755,409,54.2
February 2019,497,249,50.1, ,538,273,50.7, ,1035,522,50.4
March 2019,513,244,47.6, ,499,281,56.3, ,1012,525,51.9
Aberdeen,5960,3013,50.6, ,5953,3189,53.6, ,11913,6202,52.1
 ,,,,,,,,,,,
Aberystwyth,,,,,,,,,,,
April 2018,92,49,53.3, ,77,42,54.5, ,169,91,53.8
May 2018,112,60,53.6, ,100,48,48.0, ,212,108,50.9
June 2018,86,42,48.8, ,96,47,49.0, ,182,89,48.9
July 2018,100,49,49.0, ,115,67,58.3, ,216,117,54.2
August 2018,121,63,52.1, ,104,68,65.4, ,225,131,58.2
September 2018,69,37,53.6, ,94,50,53.2, ,163,87,53.4
October 2018,87,39,44.8, ,86,42,48.8, ,173,81,46.8
November 2018,100,55,55.0, ,98,57,58.2, ,198,112,56.6
December 2018,98,52,53.1, ,75,39,52.0, ,173,91,52.6
January 2019,67,38,56.7, ,51,28,54.9, ,118,66,55.9
February 2019,63,31,49.2, ,73,37,50.7, ,136,68,50.0
March 2019,120,52,43.3, ,83,43,51.8, ,203,95,46.8
Aberystwyth,1115,567,50.9, ,1052,568,54.0, ,2168,1136,52.4
 ,,,,,,,,,,,
Aldershot,,,,,,,,,,,
April 2018,539,253,46.9, ,556,276,49.6, ,1095,529,48.3
May 2018,531,223,42.0, ,509,235,46.2, ,1040,458,44.0
June 2018,498,222,44.6, ,461,237,51.4, ,959,459,47.9
July 2018,523,246,47.0, ,456,219,48.0, ,979,465,47.5
August 2018,603,275,45.6, ,487,254,52.2, ,1090,529,48.5
September 2018,383,171,44.6, ,355,183,51.5, ,738,354,48.0
October 2018,491,233,47.5, ,442,232,52.5, ,933,465,49.8
November 2018,484,182,37.6, ,438,209,47.7, ,922,391,42.4
December 2018,416,175,42.1, ,352,168,47.7, ,768,343,44.7
January 2019,489,234,47.9, ,400,171,42.8, ,889,405,45.6
February 2019,490,198,40.4, ,471,238,50.5, ,961,436,45.4
March 2019,457,198,43.3, ,451,220,48.8, ,908,418,46.0
Aldershot,5904,2610,44.2, ,5378,2642,49.1, ,11282,5252,46.6
 ,,,,,,,,,,,
Andover (Portland House),,,,,,,,,,,
April 2018,104,53,51.0, ,114,60,52.6, ,218,113,51.8
May 2018,129,57,44.2, ,154,75,48.7, ,283,132,46.6
June 2018,139,74,53.2, ,143,73,51.0, ,282,147,52.1
July 2018,138,66,47.8, ,160,75,46.9, ,298,141,47.3
August 2018,142,64,45.1, ,135,72,53.3, ,277,136,49.1
September 2018,88,33,37.5, ,87,45,51.7, ,175,78,44.6
October 2018,146,59,40.4, ,146,68,46.6, ,292,127,43.5
November 2018,177,84,47.5, ,171,82,48.0, ,348,166,47.7
December 2018,125,59,47.2, ,124,65,52.4, ,249,124,49.8
January 2019,142,57,40.1, ,130,73,56.2, ,272,130,47.8
February 2019,123,67,54.5, ,109,55,50.5, ,232,122,52.6
March 2019,129,62,48.1, ,156,79,50.6, ,285,141,49.5
Andover (Portland House),1582,735,46.5, ,1629,822,50.5, ,3211,1557,48.5
 ,,,,,,,,,,,
Axminster,,,,,,,,,,,
April 2018,..,..,66.7, ,..,..,60.0, ,14,9,64.3
June 2018,..,..,66.7, ,..,..,60.0, ,11,7,63.6
August 2018,..,..,40.0, ,..,..,83.3, ,11,7,63.6
October 2018,7,5,71.4, ,6,3,50.0, ,13,8,61.5
December 2018,..,..,80.0, ,..,..,71.4, ,..,..,75.0
February 2019,..,..,20.0, ,..,..,50.0, ,..,..,36.4
Axminster,37,22,59.5, ,35,22,62.9, ,72,44,61.1
 ,,,,,,,,,,,
Aylesbury2,,,,,,,,,,,
April 2018,278,135,48.6, ,250,118,47.2, ,528,253,47.9
May 2018,327,159,48.6, ,291,147,50.5, ,618,306,49.5
June 2018,303,138,45.5, ,259,140,54.1, ,562,278,49.5
July 2018,302,133,44.0, ,259,133,51.4, ,561,266,47.4
August 2018,300,154,51.3, ,252,138,54.8, ,552,292,52.9
September 2018,234,109,46.6, ,224,119,53.1, ,458,228,49.8
October 2018,284,152,53.5, ,284,146,51.4, ,568,298,52.5
November 2018,292,144,49.3, ,263,135,51.3, ,555,279,50.3
December 2018,249,107,43.0, ,256,116,45.3, ,505,223,44.2
January 2019,288,107,37.2, ,256,130,50.8, ,544,237,43.6
February 2019,325,164,50.5, ,260,120,46.2, ,585,284,48.5
March 2019,261,114,43.7, ,219,115,52.5, ,480,229,47.7
Aylesbury2,3443,1616,46.9, ,3073,1557,50.7, ,6516,3173,48.7
 ,,,,,,,,,,,
Ayr,,,,,,,,,,,
April 2018,306,133,43.5, ,284,150,52.8, ,590,283,48.0
May 2018,354,156,44.1, ,291,147,50.5, ,645,303,47.0
June 2018,381,194,50.9, ,346,162,46.8, ,727,356,49.0
July 2018,369,172,46.6, ,359,195,54.3, ,728,367,50.4
August 2018,396,190,48.0, ,404,227,56.2, ,800,417,52.1
September 2018,314,157,50.0, ,302,149,49.3, ,616,306,49.7
October 2018,338,168,49.7, ,348,164,47.1, ,686,332,48.4
November 2018,375,184,49.1, ,387,197,50.9, ,762,381,50.0
December 2018,299,134,44.8, ,288,152,52.8, ,587,286,48.7
January 2019,222,106,47.7, ,203,109,53.7, ,425,215,50.6
February 2019,392,188,48.0, ,342,178,52.0, ,734,366,49.9
March 2019,378,182,48.1, ,365,175,47.9, ,743,357,48.0
Ayr,4124,1964,47.6, ,3919,2005,51.2, ,8043,3969,49.3
 ,,,,,,,,,,,
Bala,,,,,,,,,,,
May 2018,13,8,61.5, ,8,0,0.0, ,21,8,38.1
July 2018,10,3,30.0, ,11,6,54.5, ,21,9,42.9
September 2018,..,..,66.7, ,..,..,50.0, ,11,7,63.6
November 2018,8,2,25.0, ,12,6,50.0, ,20,8,40.0
January 2019,..,..,60.0, ,..,..,45.5, ,16,8,50.0
March 2019,..,..,40.0, ,..,..,45.5, ,16,7,43.8
Bala,50,24,48.0, ,55,23,41.8, ,105,47,44.8
 ,,,,,,,,,,,
Bangor,,,,,,,,,,,
April 2018,243,104,42.8, ,255,127,49.8, ,499,232,46.5
May 2018,301,131,43.5, ,291,131,45.0, ,592,262,44.3
June 2018,236,105,44.5, ,241,119,49.4, ,477,224,47.0
July 2018,219,105,47.9, ,221,106,48.0, ,440,211,48.0
August 2018,275,127,46.2, ,278,129,46.4, ,553,256,46.3
September 2018,200,96,48.0, ,183,94,51.4, ,383,190,49.6
October 2018,219,104,47.5, ,211,111,52.6, ,430,215,50.0
November 2018,234,97,41.5, ,230,96,41.7, ,465,194,41.7
December 2018,254,94,37.0, ,211,94,44.5, ,465,188,40.4
January 2019,233,103,44.2, ,190,85,44.7, ,423,188,44.4
February 2019,228,84,36.8, ,241,109,45.2, ,471,194,41.2
March 2019,237,98,41.4, ,241,120,49.8, ,479,219,45.7
Bangor,2879,1248,43.3, ,2793,1321,47.3, ,5677,2573,45.3
 ,,,,,,,,,,,
Barnstaple,,,,,,,,,,,
April 2018,143,58,40.6, ,155,89,57.4, ,298,147,49.3
May 2018,201,86,42.8, ,179,88,49.2, ,380,174,45.8
June 2018,161,72,44.7, ,144,63,43.8, ,305,135,44.3
July 2018,162,71,43.8, ,175,95,54.3, ,337,166,49.3
August 2018,195,82,42.1, ,153,82,53.6, ,348,164,47.1
September 2018,159,80,50.3, ,134,71,53.0, ,293,151,51.5
October 2018,189,84,44.4, ,148,81,54.7, ,337,165,49.0
November 2018,185,73,39.5, ,143,70,49.0, ,328,143,43.6
December 2018,150,66,44.0, ,99,47,47.5, ,249,113,45.4
January 2019,169,86,50.9, ,124,67,54.0, ,293,153,52.2
